LSOA11CD,medianAge
E01000469,37.0
E01000470,32.0
E01000471,39.0
E01000472,34.0
E01000473,36.0
E01000474,36.0
E01000475,37.0
E01000476,39.0
E01000477,34.0
E01000478,34.0
E01000479,41.0
E01000480,39.0
E01000481,36.0
E01000482,35.0
E01000483,34.0
E01000484,35.0
E01000485,39.0
E01000486,37.0
E01000487,35.0
E01000488,34.0
E01000489,40.0
E01000490,35.0
E01000491,36.0
E01000492,42.0
E01000493,39.5
E01000494,37.0
E01000495,37.0
E01000497,37.0
E01000498,35.0
E01000499,31.0
E01000501,34.0
E01000502,35.0
E01000503,37.0
E01000504,36.0
E01000505,34.0
E01000506,33.0
E01000507,37.0
E01000508,36.0
E01000509,37.5
E01000510,34.0
E01000511,35.0
E01000512,36.0
E01000513,39.0
E01000514,36.5
E01000515,34.0
E01000516,35.0
E01000517,39.0
E01000518,38.0
E01000519,36.0
E01000520,38.0
E01000521,37.0
E01000522,34.0
E01000523,35.0
E01000524,33.0
E01000525,36.5
E01000526,34.0
E01000527,34.0
E01000528,35.0
E01000530,41.0
E01000531,35.0
E01000532,40.0
E01000533,35.0
E01000534,39.0
E01000535,35.0
E01000536,42.0
E01000538,42.0
E01000539,43.0
E01000540,42.0
E01000541,37.0
E01000543,38.0
E01000544,34.0
E01000545,36.0
E01000546,36.0
E01000547,34.0
E01000548,34.0
E01000549,37.0
E01000550,35.0
E01000551,34.0
E01000552,32.0
E01000553,35.0
E01000554,35.0
E01000555,36.0
E01000556,35.0
E01000557,35.0
E01000558,35.0
E01000559,34.0
E01000560,34.0
E01000561,35.0
E01000562,46.0
E01000563,47.0
E01000564,36.0
E01000565,39.0
E01000566,39.0
E01000567,39.0
E01000568,24.0
E01000569,49.0
E01000570,40.0
E01000571,38.0
E01000572,38.0
E01000573,36.0
E01000574,36.0
E01000575,34.0
E01000576,37.0
E01000577,31.0
E01000578,37.0
E01000579,34.0
E01000580,37.0
E01000581,38.0
E01000582,37.5
E01000583,36.0
E01000584,37.0
E01000585,35.0
E01000586,34.0
E01000587,37.0
E01000588,34.0
E01000589,36.0
E01000590,39.0
E01000591,35.0
E01000592,38.0
E01000593,34.0
E01000594,36.0
E01000595,31.0
E01000596,31.0
E01000599,34.0
E01000600,32.0
E01000601,31.0
E01000602,34.0
E01000603,34.0
E01000604,33.0
E01000605,34.0
E01000606,37.0
E01000607,37.0
E01000608,36.0
E01000609,36.0
E01000610,38.0
E01000611,35.0
E01000612,37.0
E01000613,34.0
E01000615,31.0
E01000616,37.0
E01000617,40.0
E01000618,42.0
E01000619,44.0
E01000620,43.0
E01000621,36.0
E01000622,34.0
E01000623,37.0
E01000624,39.0
E01000625,39.0
E01000626,35.0
E01000627,37.0
E01000628,35.0
E01000629,37.0
E01000630,36.0
E01000631,37.0
E01000632,38.0
E01000633,36.0
E01000634,36.0
E01000635,36.0
E01000636,39.0
E01000637,34.0
E01000638,34.0
E01000639,33.0
E01000640,32.0
E01000641,31.0
E01000642,33.0
E01000643,34.0
E01000644,35.0
E01000645,47.0
E01000646,42.0
E01000647,38.0
E01000648,40.0
E01000649,43.0
E01000650,45.0
E01000651,46.0
E01000652,47.0
E01000653,47.0
E01000654,41.0
E01000655,38.5
E01000656,47.0
E01000657,41.0
E01000658,54.0
E01000659,40.0
E01000661,33.0
E01000662,37.0
E01000663,40.0
E01000664,41.0
E01000665,41.0
E01000666,51.0
E01000667,49.0
E01000668,38.0
E01000669,40.0
E01000670,38.0
E01000671,37.0
E01000672,42.0
E01000673,39.0
E01000674,38.0
E01000675,35.0
E01000676,33.0
E01000677,37.0
E01000678,38.0
E01000679,39.0
E01000680,49.0
E01000681,41.0
E01000682,44.0
E01000683,39.0
E01000684,40.0
E01000685,40.0
E01000686,47.0
E01000687,46.0
E01000688,46.0
E01000689,40.0
E01000690,41.0
E01000691,40.0
E01000692,41.0
E01000693,50.0
E01000694,42.5
E01000695,47.0
E01000696,48.0
E01000697,41.0
E01000698,50.0
E01000699,36.0
E01000700,38.0
E01000701,37.0
E01000702,37.0
E01000703,38.0
E01000704,41.0
E01000705,40.0
E01000706,40.0
E01000707,40.0
E01000708,39.0
E01000709,43.0
E01000710,38.0
E01000711,38.0
E01000712,41.0
E01000713,41.0
E01000714,36.0
E01000715,43.0
E01000716,45.0
E01000717,40.0
E01000718,34.0
E01000719,35.0
E01000720,35.0
E01000721,33.0
E01000722,38.0
E01000723,54.0
E01000724,29.0
E01000725,35.0
E01000726,45.0
E01000727,45.0
E01000728,40.5
E01000729,32.0
E01000730,31.0
E01000731,35.0
E01000732,44.0
E01000733,40.0
E01000734,37.0
E01000735,34.0
E01000736,38.0
E01000737,39.0
E01000738,42.0
E01000739,35.0
E01000740,33.0
E01000741,36.0
E01000742,35.0
E01000743,38.0
E01000744,37.0
E01000745,36.0
E01000746,37.0
E01000747,44.0
E01000748,54.0
E01000749,51.0
E01000750,46.0
E01000751,40.0
E01000752,49.0
E01000753,46.0
E01000754,41.0
E01000755,47.0
E01000756,47.0
E01000757,49.0
E01000758,44.0
E01000759,46.0
E01000760,47.0
E01000761,47.0
E01000762,41.0
E01000763,45.0
E01000764,40.0
E01000765,43.0
E01000766,43.0
E01000767,47.0
E01000768,48.0
E01000769,41.0
E01000770,49.0
E01000771,43.0
E01000772,51.0
E01000773,44.0
E01000774,42.0
E01000775,43.0
E01000777,43.0
E01000778,41.0
E01000779,45.0
E01000780,39.0
E01000781,34.0
E01000782,35.0
E01000783,34.0
E01000784,39.0
E01000785,37.0
E01000786,53.0
E01000787,44.0
E01000788,43.0
E01000789,30.0
E01000790,36.0
E01000791,50.0
E01000792,39.0
E01000793,51.0
E01000794,49.0
E01000795,42.0
E01000796,33.0
E01000797,41.0
E01000798,37.0
E01000799,36.0
E01000800,35.0
E01000801,40.0
E01000802,38.0
E01000803,37.0
E01000804,43.0
E01000805,39.0
E01000806,33.0
E01000807,40.0
E01000808,45.0
E01000809,46.0
E01000810,44.0
E01000811,41.0
E01000812,44.0
E01000813,44.0
E01000814,49.0
E01000815,48.0
E01000816,42.0
E01000818,46.0
E01000819,38.0
E01000820,40.0
E01000822,36.0
E01000823,40.0
E01000824,37.0
E01000825,38.0
E01000826,45.0
E01000827,42.0
E01000828,41.0
E01000829,38.0
E01000830,48.0
E01000831,44.0
E01000832,48.0
E01000833,45.0
E01000834,43.0
E01000835,40.0
E01000836,44.0
E01000837,45.0
E01000838,46.0
E01000839,47.0
E01000840,56.0
E01000841,45.0
E01000842,41.0
E01000843,37.0
E01000844,36.0
E01000845,38.0
E01000846,39.0
E01000847,36.0
E01000848,40.0
E01000849,37.0
E01000850,29.0
E01000851,26.0
E01000852,24.0
E01000853,40.0
E01000854,26.5
E01000855,39.0
E01000856,31.0
E01000857,40.0
E01000858,34.0
E01000859,40.0
E01000860,49.0
E01000861,34.0
E01000862,38.0
E01000863,32.0
E01000864,34.0
E01000865,28.0
E01000866,31.0
E01000867,30.0
E01000868,31.0
E01000869,33.0
E01000870,35.0
E01000871,36.0
E01000872,34.0
E01000873,34.0
E01000874,36.0
E01000875,32.0
E01000876,32.0
E01000877,34.0
E01000878,29.0
E01000879,38.0
E01000880,39.0
E01000881,32.0
E01000882,38.0
E01000883,35.0
E01000884,41.0
E01000885,42.5
E01000886,38.0
E01000887,36.0
E01000888,38.0
E01000889,33.0
E01000890,35.0
E01000891,33.0
E01000892,36.0
E01000893,43.0
E01000894,40.0
E01000895,39.0
E01000896,39.0
E01000897,39.0
E01000898,34.0
E01000899,43.0
E01000900,33.0
E01000901,29.0
E01000902,34.0
E01000903,39.0
E01000904,32.0
E01000905,33.0
E01000906,35.0
E01000907,37.0
E01000908,42.0
E01000909,44.0
E01000910,41.0
E01000911,39.0
E01000912,40.0
E01000913,48.0
E01000914,31.0
E01000915,34.0
E01000916,33.0
E01000917,35.0
E01000918,35.0
E01000919,35.0
E01000920,38.0
E01000921,33.0
E01000922,31.0
E01000923,39.0
E01000924,35.0
E01000925,32.0
E01000926,32.0
E01000927,36.0
E01000928,37.0
E01000929,34.0
E01000930,38.0
